Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
Sengoku Basara Two,TV,12,Finished Airing,2010-7-11,2010-9-26,Summer,Sundays at 17:00 (JST),"Dentsu,Shochiku,Mainichi Broadcasting System,Pony Canyon,Movic,flying DOG",Funimation,Production I.G,Game,"Action,Historical,Martial Arts,Samurai,Super Power",24 min. per ep.,PG-13,7.68,23885,49663,179,"The deadly confrontation with the Devil King, Oda Nobunaga is over, but the struggle for supremacy continues in Warring Countries-era Japan, as the armies of Takeda Shingen and Uesugi Kenshin repeatedly engage battle at Kawanakajima.

Meanwhile, on the easternmost side of the battlefield, two outstanding characters bound by destiny—one clad in azure and the other in crimson—are about to clash in a long-awaited, decisive duel.

Then a sudden dispatch informs that a huge army has surrounded the forces of Takeda, Uesugi and Date at Kakanakajima. Their leader is Toyotomi Hideyoshi, the man who inherited Nobunaga's dreams and ambitions, and who is now going to bring havoc over Japan once again!

(Source: Production I.G)"
Shakugan no Shana III (Final),TV,24,Finished Airing,2011-10-8,2012-3-24,Fall,Saturdays at 01:30 (JST),"Geneon Universal Entertainment,Warner Bros.,ASCII Media Works,Showgate",Funimation,J.C.Staff,Light novel,"Action,Supernatural,Drama,Romance,Fantasy",23 min. per ep.,PG-13,7.68,79196,161554,1035,"Yuji disappeared the fateful night he was supposed to choose between a life combating evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in a dubious plot to bring peace to the universe, but Shana isn't fooled. In an explosive reunion, the fiery warrior faces her unlikeliest of foes while Flame Hazes from across the world join forces to ignite a war that will determine the fate of all supernatural kind.

(Source: FUNimation)"
Shounen Onmyouji,TV,26,Finished Airing,2006-10-3,2007-3-13,Fall,-,"Sotsu,Marine Entertainment","Funimation,Geneon Entertainment USA",Studio Deen,Light novel,"Action,Magic,Fantasy,Supernatural,Demons,Historical,Shoujo",23 min. per ep.,PG-13,7.68,14525,39132,276,"Masahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins."
Tonari no Seki-kun,TV,21,Finished Airing,2014-1-6,2014-5-26,Winter,-,"Starchild Records,Media Factory",Sentai Filmworks,Shin-Ei Animation,Manga,"Comedy,School,Seinen",7 min. per ep.,G,7.68,57834,121278,449,"The original manga revolves around a girl named Yokoi who sits next to a boy only known as Seki-kun. During class, Seki-kun continues to not pay attention and instead creates amazing little distractions, such as a detailed golf course with the course's hole being a dent in his desk, or an entire dramatic war being played out by paper shogi pieces. Yokoi often finds herself getting reluctantly interested in his games, even though they always seem to end up getting HER in trouble with the teacher!

(Source: ANN)"
Toradora! OVA,OVA,1,Finished Airing,2009-4-30,-,-,-,-,-,J.C.Staff,-,"Romance,Comedy,School,Slice of Life",29 min.,PG-13,7.68,17502,38271,55,Recap OVA of the Toradora series included as a bonus with limited edition of Choudokyuu Premium Box release of PSP game Toradora! Portable.
Tsubasa Chronicle 2nd Season,TV,26,Finished Airing,2006-4-29,2006-11-4,Spring,Saturdays at 18:25 (JST),NHK,Funimation,Bee Train,Manga,"Action,Adventure,Fantasy,Romance,Supernatural,Drama,Mystery,Shounen",25 min. per ep.,PG-13,7.68,45794,89025,516,"Syaoran, Sakura, Kurogane, Fai and Mokona's journey through to different world's continue as they search for Sakura's feathers. The fated journey slowly becomes more complicated for our travelers, as they find themselves diving deeper into more dangerous worlds. Takes place immediately after the first season. Based on the manga by CLAMP."
Uchuu Kyoudai: Number Zero,Movie,1,Finished Airing,2014-8-9,-,-,-,-,-,A-1 Pictures,Manga,"Sci-Fi,Slice of Life,Space,Comedy,Seinen",1 hr. 35 min.,PG-13,7.68,672,3780,4,"Prequel to the TV anime series revolving around the ""origin of the dream."""
World Trigger,TV,73,Finished Airing,2014-10-5,2016-4-3,Fall,Sundays at 06:30 (JST),TV Asahi,-,Toei Animation,Manga,"Action,Sci-Fi,Supernatural,School,Shounen",23 min. per ep.,PG-13,7.68,44226,149179,1027,"When a gate to another world suddenly opens on Earth, Mikado City is invaded by strange creatures known as ""Neighbors,"" malicious beings impervious to traditional weaponry. In response to their arrival, an organization called the Border Defense Agency has been established to combat the Neighbor menace through special weapons called ""Triggers."" Even though several years have passed after the gate first opened, Neighbors are still a threat and members of Border remain on guard to ensure the safety of the planet.

Despite this delicate situation, members-in-training, such as Osamu Mikumo, are not permitted to use their Triggers outside of headquarters. But when the mysterious new student in his class is dragged into a forbidden area by bullies, they are attacked by Neighbors, and Osamu has no choice but to do what he believes is right. Much to his surprise, however, the transfer student Yuuma Kuga makes short work of the aliens, revealing that he is a humanoid Neighbor in disguise.

[Written by MAL Rewrite]"
Yuru Yuri,TV,12,Finished Airing,2011-7-5,2011-9-20,Summer,-,"TV Tokyo,Daume,Sotsu,Pony Canyon,DAX Production,Studio Gram,PRA,Jumondo","NIS America, Inc.",Doga Kobo,Manga,"Comedy,School,Shoujo Ai,Slice of Life",23 min. per ep.,PG-13,7.68,91976,196351,3463,"After a year in grade school without her childhood friends, first year student Akari Akaza is finally reunited with second years Yui Funami and Kyouko Toshinou at their all-girls' middle school. During the duo's first year, Yui and Kyouko formed the ""Amusement Club"" which occupies the now nonexistent Tea Club's room. Shortly after Akari joins, one of her fellow classmates, Chinatsu Yoshikawa, pays the trio a visit under the impression that they are the Tea Club; it is only once the three girls explain that the Tea Club has been disbanded that they can convince Chinatsu to join the Amusement Club—a group with no purpose other than to provide entertainment for its members.

Based on the slice-of-life manga by Namori, Yuru Yuri is an eccentric comedy about a group of girls who spend their spare time drinking tea and fawning over each other, all while completely failing to even notice the supposed main character Akari amongst them.

[Written by MAL Rewrite]"
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,TV,12,Finished Airing,2005-4-11,2005-6-27,Spring,-,-,Media Blasters,Sunrise,-,"Action,Mecha,Sci-Fi,Super Power",24 min. per ep.,PG-13,7.68,569,2185,8,"Following Gutsy Galaxy Guard's victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG - with Guy Shishio and the newly-constructed GaoFighGar - team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur's ranks is Renais Cardiff Shishioh - a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG's bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it's too late.

(Source: ANN)"
Arakawa Under the Bridge,TV,13,Finished Airing,2010-4-5,2010-6-28,Spring,-,"Square Enix,Starchild Records,Rakuonsha","NIS America, Inc.",Shaft,Manga,"Comedy,Romance,Seinen",24 min. per ep.,PG-13,7.67,93992,208481,1756,"Kou Ichinomiya is the son of a wealthy businessman who holds firm belief in his elite status. As such, he is determined to avoid becoming indebted to anyone; but one day, after a run-in with some mischievous kids on Arakawa Bridge, he ends up falling into the river running underneath. Luckily for him, a passerby is there to save him—but now, he owes his life to this stranger!

Angered by this, Kou insists on paying her back, but this may just be the worst deal the arrogant businessman has ever made. The stranger—a stoic, tracksuit-wearing homeless girl known only as Nino—lives in a cardboard box under the bridge and wants only one thing: to fall in love. Asking Kou to be her boyfriend, he has no choice but to accept, forcing him to move out of his comfortable home and start a new life under the bridge!

[Written by MAL Rewrite]
"
B: The Beginning,ONA,12,Finished Airing,2018-3-2,-,-,-,-,-,Production I.G,Original,"Action,Mystery,Police,Psychological,Supernatural,Thriller",23 min. per ep.,R,7.67,28397,69905,414,"In a world powered by advanced technology, crime and action unfold in the archipelagic nation of Cremona. Koku, the protagonist. Keith, the legendary investigator of the royal police force RIS. A mysterious criminal organization. A wide variety of characters race through the fortified city as it is beset by the serial killer, Killer B, and a chain of crimes in this suspense drama by director Kazuto Nakazawa and Production I.G

(Source: Netflix via ANN)"
Huyao Xiao Hongniang: Wangquan Fugui,ONA,14,Finished Airing,2016-1-8,2016-4-15,-,-,Tencent Animation,-,Haoliners Animation League,Manga,"Comedy,Historical,Supernatural,Romance",15 min. per ep.,PG-13,7.67,2707,6904,14,Second season of Huyao Xiao Hongniang.
Inazuma Eleven,TV,127,Finished Airing,2008-10-5,2011-4-27,Fall,-,"TV Tokyo,Dentsu,Half H.P Studio",-,OLM,Game,"Sports,Super Power,Shounen",24 min. per ep.,G,7.67,38319,67825,1474,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck.

Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?"
Kimagure Orange☆Road,TV,48,Finished Airing,1987-4-6,1988-3-7,Spring,-,Toho,AnimEigo,Studio Pierrot,Manga,"Slice of Life,Comedy,Super Power,Drama,Romance,School,Shounen",25 min. per ep.,PG-13,7.67,6454,21581,361,"Fifteen-year-old Kyosuke Kasuga moves to a new city and becomes enamored by one Madoka Ayukawa, whom often treats him coldly even though she seemed friendly the first time they met, when he caught her red straw hat on the stairs. Kyosuke also must try to avoid breaking the heart of the slightly childish Hikaru Hiyama, who fell in love with him after she saw him make an impossible shot with a basketball and who likes to shower him with affection. Also, just to make things interesting, Kyosuke, his sisters, his grandfather, and his cousins all have various powers (teleportation, psychokinesis, hypnosis, time travel, personality transference) which Kyosuke desperately tries to keep a secret, though some of the other family members have no such qualms against using their powers in public.

(Source: ANN)"
Kino no Tabi: The Beautiful World - Tou no Kuni,Special,1,Finished Airing,2005-10-19,-,-,-,Genco,-,A.C.G.T.,Light novel,"Adventure,Fantasy,Psychological",14 min.,PG-13,7.67,13432,25435,16,"Kino sets off to yet another country: Tower Country. Here all citizens work on the construction of a massive tower, without knowing what purpose it serves. The rather odd encounter with a young boy adds yet another twist to the story."
Kuroko no Basket: Last Game NG-shuu,Special,1,Finished Airing,2017-9-27,-,-,-,Bandai Visual,-,Production I.G,Manga,"Comedy,Sports,Shounen",2 min.,PG-13,7.69,267,4262,8,"Animated bloopers, based on the extra section of the original manga, included with the BD/DVD release of Kuroko no Basket: Last Game."
Kuroshitsuji Special,Special,1,Finished Airing,2009-9-30,-,-,-,-,Funimation,A-1 Pictures,Manga,"Comedy,Demons,Parody",26 min.,PG-13,7.67,36170,66238,247,"The Phantom Company plans a stage play for the poor children for it's 3rd anniversary since its foundation. But the original theater performers got into a ship accident on their way to London and won't make it in time for the presentation. Faced with this situation Ciel commands Sebastian, ""Make the stage play a success"". And just like that, Ciel, with his three servants, Lau and Ranmao, Soma and Agni, start rehearsing Hamlet. Even Undertaker and Grell show up for the show, and the rehearsals go on. Will the stage play go through as planned? 

(Sources: kuroshitsuji.tv, elune)"
Log Horizon 2nd Season,TV,25,Finished Airing,2014-10-4,2015-3-28,Fall,Saturdays at 17:30 (JST),NHK,Sentai Filmworks,Studio Deen,Novel,"Action,Adventure,Fantasy,Game,Magic",24 min. per ep.,PG-13,7.67,166441,306408,1136,"After being trapped in the world of Elder Tale for six months, Shiroe and the other Adventurers have begun to get the hang of things in their new environment. The Adventurers are starting to gain the trust of the People of the Land, and Akiba has flourished thanks to the law and order established by Shiroe's Round Table Alliance, regaining its everyday liveliness. Despite this success, however, the Alliance faces a new crisis: they are running out of funds to govern Akiba, and spies from the Minami district have infiltrated the city.

As formidable forces rise in other districts, there is also a need to discover more about the vast new world they are trapped in—leading Shiroe to decide that the time has come to venture outside the city. Accompanied by his friend Naotsugu and the Sage of Mirror Lake Regan, the calculative Shiroe makes his move, hoping to unravel new possibilities and eventually find a way home.

[Written by MAL Rewrite]"
Nanatsu no Umi no Tico,TV,39,Finished Airing,1994-1-16,1994-12-18,Winter,Sundays at 19:30 (JST),-,-,Nippon Animation,Original,"Slice of Life,Adventure",23 min. per ep.,G,7.67,1254,2954,10,"Nanami Simpson is a young girl. Her mother dies when she is young, and she goes to live with her father, Scott Simpson, on board a marine research vessel, the Peperonchino. Her father is a marine biologist, and he is in search of a creature known as the glowing whale. When he finds the bones of one of these, he is saddened, and resolves to change his mission toward preserving and caring for the creatures. Nanami befriends an Orca which she names Tico, and she goes swimming with it every day. Eventually, she learns to breathe underwater which astounds her father. Nanami nearly drowns one day, and one of the glowing whales saves her from certain death and returns her to the vessel, where her father finally gets to see it.

(Source: ANN)"
Strike Witches Movie,Movie,1,Finished Airing,2012-3-17,-,-,-,"NTT Docomo,501st JOINT FIGHTER WING,Sony PCL",Funimation,AIC,Original,"Action,Military,Sci-Fi,Magic",1 hr. 37 min.,PG-13,7.67,13342,28471,103,"In 1945, Yoshika Miyafuji, who lost her witch powers during the Strike Witches' last assignment, has been studying to become a doctor. Shizuka Hattori, one of her cadets in the Imperial Fuso Navy, then arrives to deliver a message: Yoshika is to be transferred for study abroad in Europe. 

(Source: Kadokawa) "
Sukitte Ii na yo.,TV,13,Finished Airing,2012-10-7,2012-12-30,Fall,-,"Starchild Records,Kodansha,Magic Capsule,Yomiuri Advertising,GANSIS",Sentai Filmworks,Zexcs,Manga,"Drama,Romance,School,Shoujo",24 min. per ep.,PG-13,7.67,177306,309700,3449,"Friends will only let you down—that is the sad truth Mei Tachibana lives with, ever since she was wrongfully blamed for the death of a class pet by her so-called friends in grade school. Since then, she stays away from people in order to avoid ever being hurt again. However, Mei's life begins to change drastically when a misunderstanding in high school causes her to encounter popular student Yamato Kurosawa.

Yamato finds her intriguing and insists on being her friend, even though Mei wants nothing to do with him. But when a dangerous situation ends with Yamato kissing Mei to save her from the unwanted attention of a stalker, Mei begins to develop feelings for him. On the heels of her discovery that their feelings are mutual, they start dating and she gains not only a boyfriend, but friends as well. Mei, however, finds it very hard to adapt to this new lifestyle, especially in expressing her true feelings towards Yamato.

Throughout misunderstandings of their new relationship, each other, and the attentions of other girls, Mei and Yamato slowly grow closer and learn the true meaning of those three little words: ""I love you.""

[Written by MAL Rewrite]"
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,OVA,4,Finished Airing,2011-8-26,2011-10-26,-,-,"Nihon Ad Systems,M.S.C",-,Production I.G,-,"Sports,Shounen",22 min. per ep.,PG-13,7.67,2985,7059,10,"Episode 1: Shiraishi becomes the captain of Shitenhoji Tennis Club. In order to maintain the club, the members have to invite a new member. They try to attract Zaizen's attention by showing him jokes but Zaizen passes them off.

Episode 2: Ryoma is told Seigaku's seven ghost stories by Momoshiro. They are quite common stories but the third grade members leave the club room in a hurry. Fuji says ""It's time to confide this to you."" and he begins to tell what he experienced two years ago."
Towa no Quon 5: Souzetsu no Raifuku,Movie,1,Finished Airing,2011-11-5,-,-,-,"Bandai Visual,Lantis,Movic,Showgate,Hakuhodo DY Media Partners,Sony PCL",Sentai Filmworks,Bones,Original,"Action,Super Power,Supernatural",48 min.,PG-13,7.67,12681,22650,11,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.
Ushio to Tora (TV),TV,26,Finished Airing,2015-7-3,2015-12-25,Summer,Fridays at 22:30 (JST),"Sotsu,Showgate,Tokuma Japan Communications,Daiichi Shokai CO., LTD",Sentai Filmworks,"MAPPA,Studio VOLN",Manga,"Action,Adventure,Comedy,Demons,Shounen,Supernatural",24 min. per ep.,PG-13,7.67,53164,123192,553,"Ushio Aotsuki is a stubborn middle school student and son of an eccentric temple priest who goes about life without care for his father's claims regarding otherworldly monsters known as youkai. However, as he is tending to the temple while his father is away on work, his chores lead him to a shocking discovery: in the basement he finds a menacing youkai impaled by the fabled Beast Spear.

The beast in question is Tora, infamous for his destructive power, who tries to coerce Ushio into releasing him from his five hundred year seal. Ushio puts no trust in his words and refuses to set him free. But when a sudden youkai outbreak puts his friends and home in danger, he is left with no choice but to rely on Tora, his only insurance being the ancient spear if he gets out of hand.

Ushio and Tora's meeting is only the beginning of the unlikely duo's journey into the depths of the spiritual realm. With the legendary Beast Spear in his hands, Ushio will find out just how real and threatening the world of the supernatural can be.

[Written by MAL Rewrite]"
Waga Seishun no Arcadia,Movie,1,Finished Airing,1982-7-28,-,-,-,-,"AnimEigo,Discotek Media",Toei Animation,-,"Action,Adventure,Drama,Sci-Fi,Space",2 hr. 10 min.,PG-13,7.67,2371,5543,58,"Earth has been conquered by the evil Illumidus Empire, with parallels drawn to the U.S. post World War II occupation of Japan. Captain Harlock with a group that will become his life long friends begin their fight against this tyranny visited upon the planet Earth, with no regard to the costs the struggle will have on them, caring only for the ideal of restoring freedom to the people of Earth.

(Source: ANN)"
Aa! Megami-sama!: Sorezore no Tsubasa,TV,22,Finished Airing,2006-4-7,2006-9-15,Spring,-,"TBS,Kodansha","ADV Films,Funimation,NYAV Post",AIC,Manga,"Comedy,Magic,Romance,Seinen,Supernatural",24 min. per ep.,PG-13,7.66,26551,48058,165,"One year after goddess Belldandy emerged from Keiichi Morisato's mirror and promised to stay with him forever, a new threat to their happiness emerges, one that could end the contract between Belldandy and Keiichi. 
"
Amanchu! Advance,TV,12,Currently Airing,2018-4-7,-,Spring,Saturdays at 23:00 (JST),-,-,J.C.Staff,Manga,"Comedy,School,Shounen,Slice of Life",23 min. per ep.,PG-13,7.66,1205,14385,16,Second season of Amanchu!.
Ashita no Nadja,TV,50,Finished Airing,2003-2-2,2004-1-25,Winter,-,Asahi Broadcasting,-,Toei Animation,Original,"Adventure,Drama,Historical,Romance,Shoujo",24 min. per ep.,G,7.66,6191,17269,187,"This story takes place about one hundred years ago. Nadja is a bright, cheerful girl who was raised in an orphanage near London, England. Nadja was entrusted to the orphanage when she was a baby. So she thought her father and mother were dead. But before her thirteenth birthday, she found out that her mother might be alive..

Nadja sets out on a journey to find her mother! With all of Europe as the stage, Nadja's exciting adventure begins!

(Source: AniDB)"
Basilisk: Kouga Ninpou Chou,TV,24,Finished Airing,2005-4-13,2005-9-21,Spring,-,"GDH,Kodansha,Sotsu Music Publishing",Funimation,Gonzo,Manga,"Action,Adventure,Historical,Supernatural,Romance,Samurai,Fantasy",24 min. per ep.,R,7.66,54038,124010,1278,"For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms.

Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war.

Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans.

[Written by MAL Rewrite]"
Diamond no Ace OVA,OVA,3,Finished Airing,2014-11-17,2015-3-17,-,-,-,-,"Production I.G,Madhouse",Manga,"Comedy,Sports,School,Shounen",23 min. per ep.,PG-13,7.66,4036,9426,17,"OVA episodes bundled with 44th-46th manga volumes.

The limited-edition DVD will animate ""Face -Kominato Ryousuke Special Bangai-hen,"" which appeared in the Ace of Diamond Official Guidebook Ura and tells the ""moving secret story of the Kominato brothers that cannot be seen in the television series."""
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,Special,1,Finished Airing,2011-8-2,-,-,-,-,Funimation,Toei Animation,Manga,"Action,Sci-Fi,Comedy,Super Power,Fantasy,Shounen",23 min.,PG-13,7.66,13199,23603,46,Special episode about Trunks going back to the future and fighting the Androids. Also known as episode 98 of Dragon Ball Kai.
Final Fantasy VII: Advent Children - Venice Film Festival Footage,Movie,1,Finished Airing,2005-9-14,-,-,-,Square Enix,-,-,Game,"Action,Fantasy,Drama,Sci-Fi",23 min.,PG-13,7.66,3356,7981,13,Advent Children Special Edition is the 25 minute version of the movie which was shown at the 62nd Venice Film Festival in 2005. Available as dvd bonus on 2-disc special edition.
Future GPX Cyber Formula Sin,OVA,5,Finished Airing,-,-,-,-,-,-,Sunrise,-,"Drama,Sci-Fi,Shounen,Sports",30 min. per ep.,PG-13,7.66,547,1332,11,"After Aoi Zip Formula was banned for one year from Cyber Formula racing due to cheating, Jotaro Kaga, alias Bleed Kaga, returns for the 17th Cyber Formula World Grand Prix. However his old car is no match for the returning champion Hayato Kazami, whose skill has improved tremendously, and his Nu-Asurada AKF-0. An old face, Kyoshiro Nagumo, appears suddenly to him and offers him the Ogre AN-21: a prototype to the Bio-Computer operated Al-Zard series created by the developers of the Asurada, and an ultimate racing machine that only a few can drive. Kaga must now master this car, confront his own inner demons and, most importantly, defeat his longtime rival Hayato in what is possibly Kaga's last and greatest Cyber Formula season.

(Source: ANN)"
Giant Killing,TV,26,Finished Airing,2010-4-4,2010-9-26,Spring,-,NHK,-,Studio Deen,Manga,"Sports,Drama,Seinen",24 min. per ep.,PG-13,7.66,23023,44744,291,"East Tokyo United (ETU) has been struggling in Japan's top soccer league for the past few years. It has taken everything they have just to avoid relegation. To make matters even worse, the team has lost five matches in a row, leading to abysmal team morale. Even the fans are beginning to abandon them, and rumors hint that the home ground municipality is going to withdraw their support. With countless coaches fired and poor financial choices in hiring players, it is a downward spiral for ETU.

The board of directors, under pressure from general manager Kousei Gotou, takes a gamble and hires a new coach—the slightly eccentric Takeshi Tatsumi. Though considered a great soccer player when he was younger, Tatsumi abandoned ETU years ago. However, since then, he has proven himself successful as the manager of one of England's lower division amateur teams.

Tatsumi's task won't be easy; ETU fans call him a traitor, and the team is pitted against others with larger budgets and better players. Yet even the underdog can take down a goliath, and Tatsumi claims he is an expert at giant killing.

[Written by MAL Rewrite]"
Gugure! Kokkuri-san,TV,12,Finished Airing,2014-10-6,2014-12-22,Fall,Mondays at 01:05 (JST),"TV Tokyo,Frontier Works,Media Factory,Nihon Ad Systems,Sony Music Communications",Sentai Filmworks,TMS Entertainment,4-koma manga,"Comedy,Shounen,Supernatural",24 min. per ep.,PG-13,7.66,50042,113732,767,"Kohina Ichimatsu, the self-proclaimed doll, called out the fox ghost Kokkuri-san with a suspicious incantation! But it was a story of the past where Kokkuri-san was able to answer any question you had. Nowadays, it relies on a certain search engine, but is actually bad at anything digital. He was going to possess Kohina, but got worried about her living all alone and devotes himself to do chores as if he was her mother. On top of that, the dog ghost Inugami who is infatuated with Kohina and the old good-for-nothing supernatural raccoon dog Shigaraki decide to root themselves with her as well! 

(Source: Crunchyroll)"
Hal,Movie,1,Finished Airing,2013-6-8,-,-,-,"Production I.G,Shochiku,Pony Canyon",Funimation,Wit Studio,Original,"Sci-Fi,Drama,Romance,Shoujo",1 hr.,PG-13,7.66,37217,71387,264,"Kurumi is a beautiful young woman whose beloved boyfriend, Hal, died in a sudden airplane accident. Left heartbroken and gloomy, she isolates herself in a small house. But this soon comes to change when her grandfather requests the help of a humanoid robot named Q01.

Taking on the appearance of Hal, Q01 is sent to Kurumi's house in order to save her from her state of despair. As Hal returns day after day and increases his efforts, Kurumi, despite her initial reluctance, slowly begins to open up to him and break free from her depression. But there is more to Hal than meets the eye, and these two will soon learn an unexpected truth about this relationship between a human and an android.

[Written by MAL Rewrite]"
Isshuukan Friends.,TV,12,Finished Airing,2014-4-7,2014-6-23,Spring,Mondays at 00:00 (JST),"Nihon Ad Systems,Pony Canyon,DAX Production,TOHO animation",Sentai Filmworks,Brain's Base,4-koma manga,"Slice of Life,Comedy,School,Shounen",23 min. per ep.,PG-13,7.66,90390,183611,966,"Sixteen-year-old Yuuki Hase finally finds the courage to speak to his crush and ask her if she wants to become friends. The object of his affection, Kaori Fujimiya, is a quiet and reserved girl who cuts herself off from everyone and does not spare him the same blunt rejection she gives everybody else.

Some time after, Yuuki finds her eating lunch on the roof where she secludes herself during break. He decides to start meeting with Kaori every day in the hopes of beginning to understand her better. The more time they spend together, the more she begins to open up to him. However, nearing the end of the week, she starts to push him away once more. It is then revealed to him the reason for Kaori's cold front: at the end of the week, her memories of those close to her, excluding her family, are forgotten, as they are reset every Monday. The result of an accident in middle school, the once popular and kind Kaori is now unable to make friends in fear of hurting the people dear to her.

Determined to become more than just one week friends, Yuuki asks her the exact same question each Monday: ""Would you like to be friends?"" Because he knows that deep down, Kaori wishes for that more than anything.

[Written by MAL Rewrite]"
Jigoku Sensei Nube,TV,49,Finished Airing,1996-4-13,1997-6-21,Spring,Saturdays at 19:00 (JST),TV Asahi,-,Toei Animation,Manga,"Adventure,Comedy,Horror,Romance,School,Shounen,Supernatural",24 min. per ep.,PG-13,7.66,3416,10975,91,"Nube is a clumsy, easygoing, and very kind teacher, but he has a secret under his glove on the left hand. He has a monster hand, and he also has the ability to sense ghosts and evil spirits. So he protects his dear students from these evil spirits with his monster hand, proving to be very powerful.

(Source: ANN)"
Kingsglaive: Final Fantasy XV,Movie,1,Finished Airing,2016-7-9,-,-,-,Square Enix,-,-,Game,Action,1 hr. 55 min.,PG-13,7.66,19107,32074,115,"For years, the Niflheim Empire and the kingdom of Lucis have been at war. The empire, having dominated most of the world of Eos, covets the power of the last known Crystal, which is held in Lucis' capital city, Insomnia.

In order to protect his people from these advancing forces, King Regis Lucis Caelum CXIII used the power of the Crystal to surround Insomnia with a magical wall. Along with this barrier, Regis assembled an elite military task force known as the Kingsglaive. By drawing their power from the king, the Kingsglaive protect Lucis' borders from the onslaught of the empire and other forces that would do them harm.

One such member of the Kingsglaive is Nyx, a man nicknamed ""The Hero"" by his fellow warriors due to his arrogance and desire to save everyone. However, his pride gets the better of him, causing him to disobey his captain's orders, resulting in a demotion. Now, Nyx spends his days guarding the city gates, but things begin to change once word gets out that Regis plans to sign a peace treaty with their sworn enemies.

[Written by MAL Rewrite]"
"Kono Danshi, Ningyo Hiroimashita.",OVA,1,Finished Airing,2012-11-9,-,-,-,CoMix Wave Films,Sentai Filmworks,-,Original,"Fantasy,Shounen Ai",28 min.,PG-13,7.66,10611,20305,130,"*The Second OVA of Kono Dan series.

They say look before you leap and make sure you can swim before you go in the deep water, but when a picture of his late grandfather falls into the ocean, Shima jumps in after it without thinking. Nearly drowning as a result, he is instead saved by a very perfect stranger... one whose strangeness extends to only being human from the waist up!

For Shima, who's always felt like a fish out of water himself, it's more than just a revelation, and the young man and merman quickly begin to bond in ways neither anticipated. And yet, it's going to be far from easy sailing. After all, Shima and Isaki aren't just from opposite sides of the tracks, they're from entirely divergent species, and swimming in separate gene pools may make maintaining a long term relationship a whole different kettle of fish!

(Source: Sentai Filmworks)
"
Lady Lady!!,TV,21,Finished Airing,1987-10-21,1988-3-23,Fall,Wednesdays at 19:30 (JST),-,-,Toei Animation,Manga,"Drama,Historical",23 min. per ep.,G,7.66,1458,3387,28,"Lynn lost her mother at the age of five and lives in with her father in England. Lynn's father is not able to be by her side all the time because of his busy schedule and Lynn is often left on her own. Despite having to endure the harsh loneliness, Lynn strives to protect her promise with her mother to become a strong and elegant lady.

(Source: ANN)"
